2020-06-25 08:03:15 status half-installed hostname:armhf 3.18+b1
2020-06-25 08:03:15 status unpacked hostname:armhf 3.18+b1
2020-06-25 08:03:15 status unpacked hostname:armhf 3.18+b1
2020-06-25 08:03:16 install init-system-helpers:all <none> 1.48
2020-06-25 08:03:16 status half-installed init-system-helpers:all 1.48
2020-06-25 08:03:16 status unpacked init-system-helpers:all 1.48
2020-06-25 08:03:16 status unpacked init-system-helpers:all 1.48
2020-06-25 08:03:16 install libcap-ng0:armhf <none> 0.7.7-3+b1
2020-06-25 08:03:16 status half-installed libcap-ng0:armhf 0.7.7-3+b1
2020-06-25 08:03:17 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2020-06-25 08:03:17 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2020-06-25 08:03:17 install libgcrypt20:armhf <none> 1.7.6-2+deb9u3
2020-06-25 08:03:17 status half-installed libgcrypt20:armhf 1.7.6-2+deb9u3
2020-06-25 08:03:18 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2020-06-25 08:03:18 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u3
2020-06-25 08:03:18 install libgpg-error0:armhf <none> 1.26-2
2020-06-25 08:03:18 status half-installed libgpg-error0:armhf 1.26-2
2020-06-25 08:03:18 status unpacked libgpg-error0:armhf 1.26-2
2020-06-25 08:03:18 status unpacked libgpg-error0:armhf 1.26-2
2020-06-25 08:03:19 install libselinux1:armhf <none> 2.6-3+b3
2020-06-25 08:03:19 status half-installed libselinux1:armhf 2.6-3+b3
2020-06-25 08:03:19 status unpacked libselinux1:armhf 2.6-3+b3
2020-06-25 08:03:19 status unpacked libselinux1:armhf 2.6-3+b3
2020-06-25 08:03:19 install libsemanage-common:all <none> 2.6-2
2020-06-25 08:03:19 status half-installed libsemanage-common:all 2.6-2
2020-06-25 08:03:20 status unpacked libsemanage-common:all 2.6-2
2020-06-25 08:03:20 status unpacked libsemanage-common:all 2.6-2
2020-06-25 08:03:20 install libsemanage1:armhf <none> 2.6-2
2020-06-25 08:03:20 status half-installed libsemanage1:armhf 2.6-2
2020-06-25 08:03:20 status unpacked libsemanage1:armhf 2.6-2
2020-06-25 08:03:20 status unpacked libsemanage1:armhf 2.6-2
2020-06-25 08:03:21 install libsepol1:armhf <none> 2.6-2
2020-06-25 08:03:21 status half-installed libsepol1:armhf 2.6-2
2020-06-25 08:03:21 status unpacked libsepol1:armhf 2.6-2
2020-06-25 08:03:21 status unpacked libsepol1:armhf 2.6-2
2020-06-25 08:03:22 install lsb-base:all <none> 9.20161125
2020-06-25 08:03:22 status half-installed lsb-base:all 9.20161125
2020-06-25 08:03:22 status unpacked lsb-base:all 9.20161125
2020-06-25 08:03:22 status unpacked lsb-base:all 9.20161125
2020-06-25 08:03:22 install liblz4-1:armhf <none> 0.0~r131-2+b1
2020-06-25 08:03:22 status half-installed liblz4-1:armhf 0.0~r131-2+b1
2020-06-25 08:03:22 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2020-06-25 08:03:22 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2020-06-25 08:03:23 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2020-06-25 08:03:23 status half-configured mawk:armhf 1.3.3-17+b3
2020-06-25 08:03:23 status unpacked mawk:armhf 1.3.3-17+b3
2020-06-25 08:03:23 status half-installed mawk:armhf 1.3.3-17+b3
2020-06-25 08:03:23 status half-installed mawk:armhf 1.3.3-17+b3
2020-06-25 08:03:23 status unpacked mawk:armhf 1.3.3-17+b3
